"target_word_unique","avgRT_related","avgRT_unrelated","avgZ_RT_related","avgZ_RT_unrelated","seRT_related","seRT_unrelated","seZ_RT_related","seZ_RT_unrelated","target_sample_keep_related","target_sample_keep_unrelated","avgRT_prime","avgZ_prime"
"baño",499.67391472403,546.160540529674,-0.682111783665363,-0.598829919387765,12.3045558917935,15.9068069802904,0.046453205573101,0.0536087286891935,129,111,46.4866258056436,0.0832818642775978
"belleza",548.204524997732,517.167239676884,-0.573574666754429,-0.618813971078618,13.499177542413,14.1062857456149,0.0464077678405763,0.0483959873651807,120,121,-31.0372853208482,-0.0452393043241892
"billetera",579.967594557439,587.488380004511,-0.424733906097772,-0.386270071721326,18.7142649989615,12.6360777112912,0.0706988213318427,0.0480562026994973,74,150,7.52078544707194,0.0384638343764463
"billón",559.483211132791,699.88699999981,-0.494252669106346,0.0794052141729915,18.0666549397704,20.518600686645,0.0714086288391677,0.0662096835988949,90,128,140.403788867018,0.573657883279337
"biología",521.429421870942,605.886707337517,-0.579369847695882,-0.43545167683388,20.6309557976934,17.8129507624313,0.0699470975461553,0.061915500825415,64,82,84.4572854665748,0.143918170862002
"biológico",536.696536594788,663.537405384975,-0.570018766668175,-0.0661128828121869,12.9707930880449,29.9903945512816,0.0382418224810614,0.0699638896312344,123,74,126.840868790186,0.503905883855988
"boda",544.100506566502,522.970112146067,-0.601152449693065,-0.674686448850042,12.555906479285,15.6680061241306,0.0402413523004328,0.0527826331493412,152,107,-21.1303944204352,-0.0735339991569773
"bolsa",509.106869016651,560.982010659853,-0.714089736949228,-0.526562708450871,18.5081423048417,19.8933962472348,0.061253560681026,0.0618926934591491,84,94,51.8751416432013,0.187527028498357
"bolígrafo",585.711132071077,548.983865378334,-0.282647747521614,-0.485784733008231,17.671188544137,10.4646149607902,0.0600185845016647,0.0477442642673526,106,104,-36.7272666927429,-0.203136985486617
"borracho",522.394414148609,515.617303349156,-0.621147370249359,-0.582617914442243,11.7958007675993,13.394685258285,0.0440535440039298,0.0583671789432466,99,89,-6.77711079945334,0.0385294558071158
"bosque",526.781609759559,580.375576004062,-0.656593618629102,-0.34972474266225,13.34676330001,14.9192862821353,0.0360366666414182,0.0560179319187412,123,125,53.5939662445027,0.306868875966852
"botella",481.97520866877,567.871944439514,-0.775114434471284,-0.523000106679366,8.76625480937287,18.6592142244448,0.0330464054558309,0.0540936124334908,115,90,85.8967357707435,0.252114327791918
"brazo",539.931933323675,550.831588212579,-0.530372406371966,-0.58856957290077,15.6489696660342,19.033979836726,0.06197802557236,0.0642561725551645,75,85,10.8996548889036,-0.0581971665288037
"broma",512.110898308444,550.607210087918,-0.693993158994711,-0.455652277663028,14.6011692327359,12.1754210741562,0.0490664555623413,0.0565660622129396,118,119,38.4963117794736,0.238340881331683
"bruja",524.886393954356,527.785705112366,-0.640996623322958,-0.65245183289305,13.5904077202133,15.2516658624591,0.0547333997280506,0.0403747080813306,99,78,2.89931115801005,-0.0114552095700915
"béisbol",632.140080006303,607.124376605688,-0.197469595791146,-0.168043967149719,30.5177242397688,22.079976258466,0.0817655125445071,0.0766254229991291,75,77,-25.0157034006155,0.0294256286414269
"caballo",523.895381456453,507.837857155181,-0.654598906127413,-0.679270462744036,19.7478878129033,11.0635544409122,0.0655977312337405,0.040740816489137,97,175,-16.0575243012725,-0.024671556616623
"cadáver",553.279069744267,553.085040409113,-0.46078846626486,-0.54013871927349,16.9489834078623,14.9871199226514,0.0607971422056443,0.0451806885940752,86,99,-0.194029335153573,-0.0793502530086296
"café",490.597850381189,505.464684190521,-0.743213415709203,-0.704723623097579,11.3252902377957,12.8549172112642,0.0467380573487552,0.043997211601623,127,95,14.8668338093319,0.0384897926116234
